External_ID__c,AccountNumber,BillingGeocodeAccuracy,Cust360_Contact_Picture_URL__pc,Description,Fax,FinServ__BillingAddress__pc,FinServ__BorrowingHistory__c,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__CountryOfResidence__pc,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerType__c,FinServ__EmployedSince__pc,FinServ__Gender__pc,FinServ__HomeOwnership__pc,FinServ__InvestmentExperience__c,FinServ__KYCDate__c,FinServ__KYCStatus__c,FinServ__LanguagesSpoken__pc,FinServ__LastFourDigitSSN__pc,FinServ__LengthOfRelationship__c,FinServ__LifetimeValue__c,FinServ__MotherMaidenName__pc,FinServ__NetWorth__c,FinServ__NextReview__c,FinServ__NumberOfChildren__pc,FinServ__NumberOfDependents__pc,FinServ__OtherAddress__pc,FinServ__RelationshipStartDate__c,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__ShippingAddress__pc,FinServ__Status__c,FinServ__TaxBracket__pc,FinServ__TaxId__pc,FinServ__TimeHorizon__c,FinServ__WeddingAnniversary__pc,INS_FEIN_Tax_ID__c,Jigsaw,JigsawCompanyId,MiddleName,PersonAssistantName,PersonAssistantPhone,PersonDepartment,PersonGender,PersonGenderIdentity,PersonMailingGeocodeAccuracy,PersonMailingLatitude,PersonMailingLongitude,PersonOtherCity,PersonOtherCountry,PersonOtherGeocodeAccuracy,PersonOtherLatitude,PersonOtherLongitude,PersonOtherPhone,PersonOtherPostalCode,PersonOtherState,PersonOtherStreet,PersonPronouns,Salutation,SicDesc,Site,Tier__c
MDM004,,Address,,,,"245 Sycamore Ln, Portland, OR 97200",,,,,,,,,,,,2024-07-29,,,,1.86,,,,2026-08-25,,,,2024-07-16,,,"245 Sycamore Ln, Portland, OR 97200",,,,,,300999045,14837647,02848394,,,,,,,,,,,,,,,,,,,,,Prepackaged Software,,
MDM001,,Address,,,,"1505 Pine Ave, Atlanta, GA 30363",,,,,,,,,,,,2025-09-12,,,,1.86,,,,2026-08-25,,,,2024-07-16,,,"1505 Pine Ave, Atlanta, GA 30363",,,,,,,04177336,19942145,,,,,,,,,,,,,,,,,,,,,,,
MDMP026,,Address,https://cust360-photos.example.com/001am00000qvjs7AAA.jpg,Recent customer; growing wallet share.,,,,Email;Text,Email,United States,,,,2017-07-30,Male,,,2025-06-06,,English,1487,1.86,,Anderson,,2026-08-25,0,,"3287 Birch Rd, Sacramento Heights, CA 90079",2024-07-16,,,,,32%,983655593,,2013-05-16,,,,B,,,,,Male,Address,38.5309,-121.4579,Sacramento Heights,United States,Address,38.5787,-121.4696,(747) 554-9870,90079,CA,3287 Birch Rd,he/him,,,,
MDM042,,,,,(567) 179-2007,"1505 Chestnut Ln, Los Angeles, CA 90048",,,,,,,,,,,,2025-02-26,,,,1.86,,,,2027-05-27,,,,2024-07-16,,,"1505 Chestnut Ln, Los Angeles, CA 90048",,,,,,606793746,,,,,,,,,,,,,,,,,,,,,,,,,
MDM032,,Address,,,,"2014 Walnut Ln, Wichita, KS 67297",,,,,,,,,,,,2024-07-24,,,,1.86,,,,2026-06-26,,,,2024-07-16,,,"2014 Walnut Ln, Wichita, KS 67297",,,,,,481726508,66939535,84237974,,,,,,,,,,,,,,,,,,,,,Prepackaged Software,,
MDMP001,ACCT-16935607,Address,,,(506) 509-6391,,,,,,,,,,,,,2026-02-13,,English,,1.86,,Martinez,,2026-08-25,1,,"3287 Maple Ave, San Antonio Park, TX 77054",2024-07-16,,,"2014 Oak St, San Antonio, TX 77054",,24%,,,1998-08-09,,,,E,,,,,Female,Address,,,San Antonio Park,United States,Address,29.4021,-98.4997,(502) 955-8544,77054,TX,3287 Maple Ave,she/her,,,,
MDMP002,ACCT-07339755,Address,,High-value relationship; quarterly review cadence.,(535) 108-5798,,Fair,,,,Very Good,,Individual,2022-03-08,Female,Own,Experienced,2026-04-13,Approved,English,,1.86,3206792.87,Thomas,387716.0,2026-06-26,0,1,"1100 Willow Rd, Detroit Hills, MI 48286",2024-07-16,Aggressive,Private,"102 Chestnut Blvd, Detroit, MI 48286",,37%,308119978,Long-Term,2002-09-16,,,,F,Executive Assistant,(301) 478-6494,Engineering,Female,Female,Address,,,Detroit Hills,United States,Address,42.321,-83.0104,(279) 818-3453,48286,MI,1100 Willow Rd,she/her,Ms,,,Diamond
MDMP037,ACCT-12140854,Address,,,(235) 857-3590,,Excellent,,,,Very Good,795,Individual,2025-10-31,,Rent,Intermediate,2024-11-25,Approved,English,,1.86,7446594.83,Martin,-233272.29,2026-06-26,0,0,"1505 Sycamore Blvd, Fort Worth Heights, TX 77049",2024-07-16,Moderate,Private,,Active,37%,,Medium-Term,,,,,E,Executive Assistant,(376) 198-2756,Operations,Male,Male,Address,,,Fort Worth Heights,United States,Address,32.7731,-97.2833,(390) 312-2019,77049,TX,1505 Sycamore Blvd,he/him,,,,Diamond
MDMP008,ACCT-68159124,Address,,Reliable depositor; regular interaction with branch.,(523) 165-0248,,,,,,,,,2021-03-13,Male,,,2025-01-30,,English,0631,1.86,,Smith,,2026-08-25,0,,"2014 Willow Way, Omaha Park, NE 68186",2024-07-16,,,,,35%,793226048,,2015-08-18,,,,T,,,,,Male,Address,,,Omaha Park,United States,Address,41.2895,-95.9539,(527) 304-9988,68186,NE,2014 Willow Way,he/him,Mr,,,
MDM037,,,,,(497) 233-9710,"1100 Walnut Ave, Houston, TX 77099",,,,,,,,,,,,2026-05-06,,,,1.86,,,,2026-11-23,,,,2024-07-16,,,"1100 Walnut Ave, Houston, TX 77099",,,,,,063420085,44770846,99368117,,,,,,,,,,,,,,,,,,,,,Motor Vehicles & Passenger Car Bodies,https://cumulus-d5cb9f.example.com,
