External_ID__c,AccountNumber,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Cust360_Contact_Picture_URL__pc,DNB_Delinquency_Score__c,DNB_Failure_Score__c,DNB_PAYDEX_Score__c,DNB_Rating__c,Description,Equifax_Credit_Risk_Score__c,Equifax_Failure_Score_CR__c,Equifax_Payment_Index__c,Experian_Intelliscore__c,Experian_Risk_Band__c,Fax,FinServ__BorrowingHistory__c,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__CountryOfResidence__pc,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerType__c,FinServ__EmployedSince__pc,FinServ__Gender__pc,FinServ__HomeOwnership__pc,FinServ__InvestmentExperience__c,FinServ__LanguagesSpoken__pc,FinServ__LastFourDigitSSN__pc,FinServ__LastInteraction__c,FinServ__MotherMaidenName__pc,FinServ__NetWorth__c,FinServ__NumberOfChildren__pc,FinServ__NumberOfDependents__pc,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__Status__c,FinServ__TaxBracket__pc,FinServ__TaxId__pc,FinServ__TimeHorizon__c,FinServ__TotalRevenue__c,FinServ__WeddingAnniversary__pc,Fitch_Category__c,Fitch_Rating__c,INS_FEIN_Tax_ID__c,Industry,Jigsaw,MiddleName,NAICS_Code__c,NumberOfEmployees,PersonAssistantName,PersonAssistantPhone,PersonDepartment,PersonGender,PersonGenderIdentity,PersonLeadSource,PersonMailingGeocodeAccuracy,PersonMailingLatitude,PersonMailingLongitude,PersonOtherCity,PersonOtherCountry,PersonOtherGeocodeAccuracy,PersonOtherLatitude,PersonOtherLongitude,PersonOtherPhone,PersonOtherPostalCode,PersonOtherState,PersonOtherStreet,PersonPronouns,PersonTitle,Rating,Salutation,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Sic,SicDesc,Site,Tier__c,Type
MDMP002,ACCT-07339755,,,,Address,,,,,,,,,,,High-value relationship; quarterly review cadence.,,,,,,(535) 108-5798,Poor,,,,Very Good,,Individual,2012-04-29,Female,Own,Intermediate,English,,,Thomas,387716.0,0,1,Moderate,Private,,37%,308119978,Medium-Term,,2002-09-16,,,,,,F,,,Executive Assistant,(301) 478-6494,Engineering,Female,Female,,Address,,,Detroit Hills,United States,Address,42.321,-83.0104,(279) 818-3453,48286,MI,1100 Willow Rd,she/her,,,Ms,,,,,,,,,,,,Diamond,
MDMP037,ACCT-12140854,,,,Address,,,,,,,,,,,,,,,,,(235) 857-3590,Excellent,,,,Very Good,795,Individual,2025-10-31,,Own,Intermediate,English,,,Martin,-233272.29,0,0,Moderate,Private,Active,37%,,Medium-Term,,,,,,,,E,,,Executive Assistant,(376) 198-2756,Operations,Male,Male,,Address,,,Fort Worth Heights,United States,Address,32.7731,-97.2833,(390) 312-2019,77049,TX,1505 Sycamore Blvd,he/him,,,,,,,,,,,,,,,Diamond,
MDMP018,ACCT-76098292,,,,,,,,,,https://cust360-photos.example.com/001am00000qvjsFAAQ.jpg,,,,,High-value relationship; quarterly review cadence.,,,,,,(519) 349-1373,Poor,,,,Very Good,789,Individual,2024-09-11,,Rent,Intermediate,English,2587,,Jones,-28357.5,0,0,Moderate,Private,Active,37%,234541994,Medium-Term,,,,,,,,Q,,,Executive Assistant,(312) 766-4241,Finance,Male,Male,,Address,,,Las Vegas Hills,United States,Address,36.1582,-115.1099,(497) 752-2548,89107,NV,1505 Birch Blvd,he/him,Dr,,,,,,,,,,,,,,Diamond,
MDMP016,ACCT-29866217,,,,,,,,,,https://cust360-photos.example.com/001am00000qvjsHAAQ.jpg,,,,,Recent customer; growing wallet share.,,,,,,(988) 573-2806,Excellent,,,,Excellent,802,Individual,2008-12-19,Female,Own,Beginner,English,6783,,Lopez,-1861116.0,0,0,Conservative,Private,Active,37%,123131307,Short-Term,,,,,,,,P,,,Executive Assistant,(332) 322-0478,Finance,Female,Female,,Address,,,Oakland,United States,Address,37.7505,-122.3024,(606) 245-6873,90058,CA,1505 Elm Ln,she/her,,,Mrs,,,,,,,,,,,,Diamond,
MDMP048,ACCT-96642221,,,,Address,,,,,,https://cust360-photos.example.com/001am00000qvjsIAAQ.jpg,,,,,Recent customer; growing wallet share.,,,,,,(791) 587-0486,Excellent,,,,Very Good,784,Individual,2016-08-16,Female,Own,Beginner,English,0955,,Rodriguez,-404028.0,0,0,Conservative,Private,Active,37%,056710904,Short-Term,,,,,,,,H,,,Executive Assistant,(687) 819-7680,Other,Female,Female,,Address,,,Raleigh,United States,Address,35.7381,-78.6752,(554) 734-0154,28228,NC,12 Chestnut Ln,she/her,Ms,,Ms,,,,,,,,,,,,Diamond,
MDMP013,,,,,Address,,,,,,https://cust360-photos.example.com/001am00000qvjt2AAA.jpg,,,,,Reliable depositor; regular interaction with branch.,,,,,,(562) 067-9404,,Email;Text,Phone,United States,,,,2000-01-10,Other,,,English,6418,,Jones,,2,,,,,35%,745204068,,,,,,,,,L,,,,,,,Other,,Address,29.3911,-98.4519,San Antonio Park,United States,Address,29.4345,-98.5007,(442) 285-5047,77001,TX,3287 Chestnut Rd,they/them,,,,,,,,,,,,,,,,
MDMP046,,,,,Address,,,,,,https://cust360-photos.example.com/001am00000qvjtAAAQ.jpg,,,,,Long-tenured customer with strong banking relationship.,,,,,,,,Email;Text,Phone,United States,,,,1994-02-11,Unknown,,,English,7376,,Moore,,0,,,,,32%,971469448,,,,,,,,,U,,,,,,,Unknown,,Address,39.2934,-76.5844,Baltimore Hills,United States,Address,39.3029,-76.6091,(969) 890-5868,21263,MD,47 Elm Ave,they/them,,,,,,,,,,,,,,,,
MDMP047,,,,,Address,29.7601,-95.3544,,,,https://cust360-photos.example.com/001am00000qvjtKAAQ.jpg,,,,,Long-tenured customer with strong banking relationship.,,,,,,(719) 647-7805,,Email;Text,Text,United States,,,,2013-03-20,Other,,,English,5846,,Williams,,0,,,,,22%,506984203,,,2003-07-30,,,,,,U,,,,,,,Other,,Address,29.7255,-95.3696,Austin,United States,Address,30.2479,-97.7266,(732) 718-9964,77042,TX,102 Walnut St,they/them,,,Dr,,,,,,,,,,,,,
MDMP041,,,,,Address,,,,,,https://cust360-photos.example.com/001am00000qvjtMAAQ.jpg,,,,,High-value relationship; quarterly review cadence.,,,,,,(245) 150-8425,,Email;Text,Text,United States,,,,2023-01-06,Unknown,,,English,1829,,Lopez,,1,,,,,22%,120984671,,,,,,,,,B,,,,,,,Unknown,,Address,30.3183,-97.7632,San Antonio,United States,Address,29.4335,-98.5122,(575) 218-6057,77047,TX,1100 Willow Rd,they/them,,,,,,,,,,,,,,,,
MDMP021,ACCT-96431502,,,,Address,34.0567,-118.2141,,,,,,,,,Reliable depositor; regular interaction with branch.,,,,,,(771) 597-9033,,Email;Text,Text,United States,,,,2016-12-22,Unknown,,,English,7228,,Thomas,,0,,,,,24%,,,,,,,,,,C,,,,,,,Unknown,,Address,34.0604,-118.2033,San Francisco,United States,Address,37.7589,-122.3777,(734) 898-9902,90053,CA,488 Sycamore St,they/them,,,Mx,,,,,,,,,,,,,
