External_ID__c,AccountNumber,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Cust360_Contact_Picture_URL__pc,DNB_Delinquency_Score__c,DNB_PAYDEX_Score__c,DNB_Rating__c,Description,Equifax_Credit_Risk_Score__c,Equifax_Failure_Score_CR__c,Equifax_Payment_Index__c,Experian_Intelliscore__c,Experian_Risk_Band__c,Fax,FinServ__BorrowingHistory__c,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__CountryOfResidence__pc,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerType__c,FinServ__EmployedSince__pc,FinServ__Gender__pc,FinServ__HomeOwnership__pc,FinServ__InvestmentExperience__c,FinServ__KYCDate__c,FinServ__KYCStatus__c,FinServ__LanguagesSpoken__pc,FinServ__LastFourDigitSSN__pc,FinServ__LastInteraction__c,FinServ__LifetimeValue__c,FinServ__MotherMaidenName__pc,FinServ__NetWorth__c,FinServ__NextReview__c,FinServ__NumberOfChildren__pc,FinServ__NumberOfDependents__pc,FinServ__RelationshipStartDate__c,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__Status__c,FinServ__TaxBracket__pc,FinServ__TaxId__pc,FinServ__TimeHorizon__c,FinServ__TotalRevenue__c,FinServ__WeddingAnniversary__pc,Fitch_Category__c,Fitch_Rating__c,INS_FEIN_Tax_ID__c,Industry,Jigsaw,MiddleName,NAICS_Code__c,NumberOfEmployees,PersonAssistantName,PersonAssistantPhone,PersonDepartment,PersonGender,PersonGenderIdentity,PersonLeadSource,PersonMailingGeocodeAccuracy,PersonMailingLatitude,PersonMailingLongitude,PersonOtherCity,PersonOtherCountry,PersonOtherGeocodeAccuracy,PersonOtherLatitude,PersonOtherLongitude,PersonOtherPhone,PersonOtherPostalCode,PersonOtherState,PersonOtherStreet,PersonPronouns,PersonTitle,Rating,Salutation,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Sic,SicDesc,Site,Tier__c,Type
MDMP002,ACCT-07339755,,,,Address,,,,,,,,,,High-value relationship; quarterly review cadence.,,,,,,(535) 108-5798,Excellent,,,,Very Good,,Relational,2022-03-08,Female,Own,Experienced,2026-04-13,Overdue,English,,,3206792.87,Thomas,387716.0,2026-06-26,0,1,2024-07-16,Aggressive,Tier 1,,37%,308119978,Long-Term,,2002-09-16,,,,,,F,,,Executive Assistant,(301) 478-6494,Engineering,Female,Female,,Address,,,Detroit Hills,United States,Address,42.321,-83.0104,(279) 818-3453,48286,MI,1100 Willow Rd,she/her,,,Ms,,,,,,,,,,,,A,
MDMP037,ACCT-12140854,,,,Address,,,,,,,,,,,,,,,,(235) 857-3590,Excellent,,,,Very Good,795,Relational,2025-10-31,,Rent,Intermediate,2024-11-25,Overdue,English,,,7446594.83,Martin,-233272.29,2026-06-26,0,0,2024-07-16,Moderate,Tier 1,Onboarding,37%,,Medium-Term,,,,,,,,E,,,Executive Assistant,(376) 198-2756,Operations,Male,Male,,Address,,,Fort Worth Heights,United States,Address,32.7731,-97.2833,(390) 312-2019,77049,TX,1505 Sycamore Blvd,he/him,,,,,,,,,,,,,,,A,
MDMP018,ACCT-76098292,,,,,,,,,,https://cust360-photos.example.com/001am00000qvjsFAAQ.jpg,,,,High-value relationship; quarterly review cadence.,,,,,,(519) 349-1373,Poor,,,,Very Good,789,Relational,2023-02-08,,Rent,Experienced,2024-10-28,Overdue,English,2587,,7344256.92,Jones,-28357.5,2026-06-26,0,0,2024-07-16,Aggressive,Tier 1,Onboarding,37%,234541994,Long-Term,,,,,,,,Q,,,Executive Assistant,(312) 766-4241,Customer Service,Male,Male,,Address,,,Las Vegas Hills,United States,Address,36.1631,-115.1136,(497) 752-2548,89107,NV,1505 Birch Blvd,he/him,Mr,,,,,,,,,,,,,,A,
MDMP016,ACCT-29866217,,,,,,,,,,https://cust360-photos.example.com/001am00000qvjsHAAQ.jpg,,,,Recent customer; growing wallet share.,,,,,,(988) 573-2806,Excellent,,,,Excellent,802,Relational,2015-09-15,Female,Own,Intermediate,2025-06-06,Overdue,English,6783,,7845833.3,Lopez,-1861116.0,2026-06-26,0,0,2024-07-16,Moderate,Tier 1,Onboarding,37%,123131307,Medium-Term,,,,,,,,P,,,Executive Assistant,(332) 322-0478,Customer Service,Female,Female,,Address,,,Oakland,United States,Address,37.7728,-122.2615,(606) 245-6873,90058,CA,1505 Elm Ln,she/her,,,Mrs,,,,,,,,,,,,A,
MDMP048,ACCT-96642221,,,,Address,,,,,,https://cust360-photos.example.com/001am00000qvjsIAAQ.jpg,,,,Recent customer; growing wallet share.,,,,,,(791) 587-0486,Excellent,,,,Very Good,784,Relational,2019-08-17,Female,Own,Intermediate,2024-10-02,Overdue,English,0955,,3488837.32,Rodriguez,-404028.0,2026-06-26,0,0,2024-07-16,Moderate,Tier 1,Onboarding,37%,056710904,Medium-Term,,,,,,,,H,,,Executive Assistant,(687) 819-7680,Other,Female,Female,,Address,,,Raleigh,United States,Address,35.8108,-78.6506,(554) 734-0154,28228,NC,12 Chestnut Ln,she/her,Miss,,Miss,,,,,,,,,,,,A,
MDMP013,,,,,Address,,,,,,https://cust360-photos.example.com/001am00000qvjt2AAA.jpg,,,,Reliable depositor; regular interaction with branch.,,,,,,(562) 067-9404,,Email;Text,Email,United States,,,,2017-12-27,Other,,,2025-12-21,,English,6418,,,Jones,,2026-08-25,0,,2024-07-16,,,,35%,745204068,,,,,,,,,L,,,,,,,Prefer Not to Disclose,,Address,29.4592,-98.5359,San Antonio Park,United States,Address,29.4668,-98.5331,(442) 285-5047,77001,TX,3287 Chestnut Rd,they/them,,,,,,,,,,,,,,,,
MDMP046,,,,,Address,,,,,,https://cust360-photos.example.com/001am00000qvjtAAAQ.jpg,,,,Long-tenured customer with strong banking relationship.,,,,,,,,Email;Text,Text,United States,,,,2020-03-30,Unknown,,,2025-08-25,,English,7376,,,Moore,,2026-08-25,1,,2024-07-16,,,,32%,971469448,,,,,,,,,U,,,,,,,Prefer Not to Disclose,,Address,39.3029,-76.6091,Baltimore Hills,United States,Address,39.3115,-76.6022,(969) 890-5868,21263,MD,47 Elm Ave,they/them,,,,,,,,,,,,,,,,
MDMP047,,,,,Address,29.7575,-95.3749,,,,https://cust360-photos.example.com/001am00000qvjtKAAQ.jpg,,,,Long-tenured customer with strong banking relationship.,,,,,,(719) 647-7805,,Email;Text,Email,United States,,,,2010-10-03,Other,,,2025-09-01,,English,5846,,,Williams,,2026-11-23,0,,2024-07-16,,,,22%,506984203,,,2006-12-05,,,,,,U,,,,,,,Prefer Not to Disclose,,Address,29.7379,-95.3566,Austin,United States,Address,30.2701,-97.7244,(732) 718-9964,77042,TX,102 Walnut St,they/them,,,Dr,,,,,,,,,,,,,
MDMP041,,,,,Address,,,,,,https://cust360-photos.example.com/001am00000qvjtMAAQ.jpg,,,,High-value relationship; quarterly review cadence.,,,,,,(245) 150-8425,,Email;Text,Text,United States,,,,2013-02-16,Unknown,,,2024-10-11,,English,1829,,,Lopez,,2026-11-23,1,,2024-07-16,,,,22%,120984671,,,,,,,,,B,,,,,,,Prefer Not to Disclose,,Address,30.3183,-97.7632,San Antonio,United States,Address,29.4335,-98.5122,(575) 218-6057,77047,TX,1100 Willow Rd,they/them,,,,,,,,,,,,,,,,
MDMP021,ACCT-96431502,,,,Address,34.0162,-118.2099,,,,,,,,Reliable depositor; regular interaction with branch.,,,,,,(771) 597-9033,,Email;Text,Email,United States,,,,2014-07-24,Unknown,,,2026-03-24,,English,7228,,,Thomas,,,0,,2024-07-16,,,,24%,,,,,,,,,,C,,,,,,,Prefer Not to Disclose,,Address,34.0351,-118.2106,San Francisco,United States,Address,37.7829,-122.3861,(734) 898-9902,90053,CA,488 Sycamore St,they/them,,,Dr,,,,,,,,,,,,,
