External_ID__c,AccountNumber,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Cust360_Contact_Picture_URL__pc,DNB_Delinquency_Score__c,DNB_PAYDEX_Score__c,DNB_Rating__c,Description,Equifax_Credit_Risk_Score__c,Equifax_Failure_Score_CR__c,Equifax_Payment_Index__c,Experian_Intelliscore__c,Experian_Risk_Band__c,Fax,FinServ__BorrowingHistory__c,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__CountryOfResidence__pc,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerType__c,FinServ__EmployedSince__pc,FinServ__Gender__pc,FinServ__HomeOwnership__pc,FinServ__InvestmentExperience__c,FinServ__KYCDate__c,FinServ__KYCStatus__c,FinServ__LanguagesSpoken__pc,FinServ__LastFourDigitSSN__pc,FinServ__LastInteraction__c,FinServ__MotherMaidenName__pc,FinServ__NetWorth__c,FinServ__NextReview__c,FinServ__NumberOfChildren__pc,FinServ__NumberOfDependents__pc,FinServ__RelationshipStartDate__c,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__Status__c,FinServ__TaxId__pc,FinServ__TimeHorizon__c,FinServ__TotalRevenue__c,Fitch_Category__c,Fitch_Rating__c,INS_FEIN_Tax_ID__c,Industry,Jigsaw,MiddleName,NAICS_Code__c,NumberOfEmployees,PersonDepartment,PersonGender,PersonGenderIdentity,PersonLeadSource,PersonMailingGeocodeAccuracy,PersonMailingLatitude,PersonMailingLongitude,PersonOtherCity,PersonOtherCountry,PersonOtherGeocodeAccuracy,PersonOtherLatitude,PersonOtherLongitude,PersonOtherPhone,PersonOtherPostalCode,PersonOtherState,PersonOtherStreet,PersonPronouns,PersonTitle,Rating,Salutation,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Sic,SicDesc,Site,Tier__c,Type
BACKFILL-001am000026ZgO7AAK,ACCT-04727839,,,,Address,35.8277,-78.6611,,,,,544,79,2A2,,769,1111,80,81,Low,(779) 237-6758,,,,,,,Relational,,,,,2026-05-02,Expired,,,2026-01-26,,,2026-08-25,,,2026-04-20,,,Active,,,,Investment Grade,A,403316755,,64231198,,211120,475,,,,,,,,,,,,,,,,,,,Warm,,Raleigh,United States,Address,35.7354,-78.644,28269,NC,1505 Sycamore Way,1311,Crude Petroleum & Natural Gas,https://cumulus-03ca93.example.com,,
BACKFILL-001am000026ZhLmAAK,ACCT-74978012,,,,Address,41.3031,-95.9086,,,,,442,53,3A4,,568,1253,68,66,Low-Medium,(886) 985-0168,,,,,,,Relational,,,,,2026-04-30,Expired,,,,,,2026-11-23,,,2026-04-20,,,Active,,,,Investment Grade,BBB,460723451,,18338410,,611110,50,,,,,,,,,,,,,,,,,,,Hot,,Omaha,United States,Address,41.2828,-95.9309,68114,NE,245 Willow Way,8211,Elementary & Secondary Schools,https://cumulus-95f13a.example.com,,
BACKFILL-001am000026ZkI2AAK,ACCT-42824451,,,,Address,29.7468,-95.3701,,,,,482,77,2A2,,669,1158,68,70,Low-Medium,(478) 248-7544,,,,,,,Relational,,,,,2026-05-13,Expired,,,2025-10-21,,,2026-08-25,,,2026-04-20,,,Active,,,,Investment Grade,A,123898349,,69847523,,531210,451,,,,,,,,,,,,,,,,,,,Warm,,Houston,United States,Address,29.7762,-95.3777,77033,TX,102 Oak Blvd,6531,Real Estate Agents & Managers,https://cumulus-21d02d.example.com,,
BACKFILL-001am000026ZldvAAC,ACCT-89270408,,,,Address,37.3112,-121.871,,,,,437,60,2A4,,625,1266,61,64,Low-Medium,(687) 484-8142,,,,,,,Relational,,,,,2026-05-01,Expired,,,2025-06-09,,,2026-11-23,,,2026-04-20,,,Active,,,,Investment Grade,BBB,986086787,,83125981,,611110,14,,,,,,,,,,,,,,,,,,,Warm,,San Jose,United States,Address,37.3832,-121.8928,90066,CA,102 Sycamore Way,8211,Elementary & Secondary Schools,https://cumulus-7ca114.example.com,,
BACKFILL-001am000026ZtgIAAS,ACCT-31962317,,,,Address,39.2404,-76.6399,,,,https://cust360-photos.example.com/001am000026ZtgIAAS.jpg,,,,,,,,,,(583) 684-1148,Excellent,Promotions:Email;Promotions:SMS,Mobile,United States,Poor,574,Relational,1998-03-12,Male,Rent,Experienced,2026-04-20,Expired,English,1420,,Davis,0.0,2027-05-27,0,0,2026-04-20,Aggressive,Tier 3,Active,448536181,Long Term,,,,,,,H,,,Other,Male,Male,Website,Address,39.2657,-76.6316,Baltimore Hills,United States,Address,39.3287,-76.6114,(608) 555-2135,21231,MD,731 Birch Blvd,He/Him,Mr,,Mr.,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgJAAS,ACCT-54950348,,,,Address,29.947,-90.0439,,,,https://cust360-photos.example.com/001am000026ZtgJAAS.jpg,,,,,,,,,,(404) 089-4794,Excellent,Promotions:Email;Promotions:SMS,Email,United States,Poor,501,Relational,2010-08-29,Male,Own,Moderately Experienced,2026-05-10,Expired,English,3258,,Gonzalez,34800000.0,2027-05-27,0,0,2026-04-20,Moderate,Tier 3,Active,634064348,Medium Term,,,,,,,G,,,Engineering,Male,Male,Partner,Address,29.9004,-90.0862,New Orleans Hills,United States,Address,29.9812,-90.1048,(961) 192-1393,70155,LA,1100 Maple St,He/Him,Mr,,Mr.,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgKAAS,ACCT-40581144,,,,Address,35.8214,-78.6601,,,,https://cust360-photos.example.com/001am000026ZtgKAAS.jpg,,,,,,,,,,(680) 579-2451,Excellent,Promotions:Email;Promotions:SMS,Email,United States,Poor,445,Relational,2011-04-25,Male,Rent,Experienced,2026-05-08,Expired,English,8674,,Martin,16800000.0,2027-05-27,0,0,2026-04-20,Aggressive,Tier 3,Active,693713451,Long Term,,,,,,,A,,,Operations,Male,Male,Referral,Address,35.8194,-78.6537,Raleigh Park,United States,Address,35.7871,-78.6259,(379) 412-1475,28284,NC,2014 Chestnut St,He/Him,Mr,,Mr.,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgLAAS,ACCT-17273278,,,,Address,43.0576,-87.9522,,,,https://cust360-photos.example.com/001am000026ZtgLAAS.jpg,,,,,,,,,,(648) 864-5323,Excellent,Promotions:Email;Promotions:SMS,Email,United States,Fair,583,Relational,2011-09-20,Male,Own,Moderately Experienced,2026-05-18,Expired,English,7563,,Smith,24400000.0,2027-05-27,0,0,2026-04-20,Moderate,Tier 3,Active,619783009,Medium Term,,,,,,,D,,,Sales,Male,Male,Website,Address,43.0027,-87.9089,Milwaukee Park,United States,Address,43.0681,-87.9455,(277) 231-9172,53274,WI,488 Maple Ave,He/Him,Mr,,Mr.,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgMAAS,ACCT-04666281,,,,Address,36.2083,-115.1037,,,,https://cust360-photos.example.com/001am000026ZtgMAAS.jpg,,,,,,,,,,(859) 525-2649,Poor,Promotions:Email;Promotions:SMS,Phone,United States,Poor,549,Relational,2006-04-08,Female,Rent,Moderately Experienced,2026-05-04,Expired,English,0348,,Moore,15200000.0,2027-05-27,0,0,2026-04-20,Moderate,Tier 3,Active,470567556,Medium Term,,,,,,,D,,,Sales,Female,Female,Referral,Address,36.158,-115.1863,Las Vegas Plaza,United States,Address,36.2097,-115.1122,(598) 616-9720,89172,NV,245 Maple Ave,She/Her,Mrs,,Mrs.,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgNAAS,ACCT-65701690,,,,Address,32.8032,-96.7956,,,,https://cust360-photos.example.com/001am000026ZtgNAAS.jpg,,,,,,,,,,(331) 572-0472,Excellent,Promotions:Email;Promotions:SMS,Phone,United States,Poor,569,Relational,2024-02-26,Female,Own,Moderately Experienced,2026-05-25,Expired,English,3103,,Williams,20695200.0,2027-05-27,0,0,2026-04-20,Moderate,Tier 3,Active,352696209,Medium Term,,,,,,,S,,,Finance,Female,Female,Partner,Address,32.8256,-96.7985,Fort Worth,United States,Address,32.7846,-97.2806,(743) 092-9636,77055,TX,1100 Chestnut Ln,She/Her,Ms,,Ms.,,,,,,,,,,,,C,
