Id,Email__c,FinServ__NetWorth__c,FinServ__CreditRating__c,Tier__c,FinServ__LifetimeValue__c,FinServ__LastUsedChannel__c,Ownership,TickerSymbol
001am00000qvjs6AAA,info@omegainc.com,98000000,Poor,C,1715000,Web,Subsidiary,
001am00000qvju7AAA,info@accusageinc.com,396681624,Poor,C,6941928,Other,Private,
001am00000qvjtxAAA,info@aceaccounting.com,5000000,Fair,C,87500,Other,Private,
001am00000qvjs5AAA,info@acmepartners.com,336000000,Excellent,C,5880000,Other,Private,
001am00000qvju5AAA,info@adenacommercialllc.com,6800000,Excellent,C,119000,Branch,Private,
001am00000qvjszAAA,info@advancedcommunications.com,20000000,Excellent,C,350000,Branch,Private,
001am00000qvjsPAAQ,info@aimssocialinc.com,308000000,Excellent,C,5390000,Web,Public,AIMS
001am00000qvjsuAAA,info@ajccorporation.com,960000000,Poor,C,16800000,Call Center,Private,
001am00000qvjsdAAA,info@alliedtechnologies.com,22400000000,Good,C,392000000,Other,Private,
001am00000qvjuBAAQ,info@amptechcorporation.com,2520000000,Poor,C,44100000,Call Center,Subsidiary,
001am00000qvjsaAAA,info@anacolimited.com,2040000000,Fair,C,35700000,Other,Subsidiary,
001am00000qvjsbAAA,info@associatedsupplyco.com,84000000,Poor,C,1470000,Call Center,Private,
001am00000qvjtvAAA,info@assuritycorporation.com,169112000000,Poor,C,2959460000,Web,Private,
001am00000qvjttAAA,info@b2bcommercelightningexpe.com,154273639316,Poor,C,2699788688,Branch,Other,
001am00000qvjtsAAA,info@b2bcommercelightningexpe.com,311415664,Fair,C,5449774,Call Center,Private,
001am00000qvjtrAAA,info@b2bcommercelightningexpe.com,315542528,Good,C,5521994,Web,Private,
001am00000qvjtnAAA,info@b2bcommercelightningexpe.com,27570188,Good,C,482478,Web,Private,
001am000024DYoYAAW,info@baxterhousehold.com,3208104,Fair,C,56141,Call Center,Subsidiary,
001am00000qvjtkAAA,info@bennetthousehold.com,54398351304,Good,C,951971147,Call Center,Subsidiary,
001am00000qvjseAAA,info@bigskysons.com,12000000,Fair,C,210000,Other,Private,
001am00000qvjtqAAA,info@biospanllc.com,5000000000,Poor,C,87500000,Other,Other,
001am00000qvjuIAAQ,info@blakehousehold.com,229459108,Poor,C,4015534,Web,Private,
001am00000qvjuKAAQ,info@blakerealestateholdings.com,237760592,Fair,C,4160810,Other,Private,
001am000024D5yBAAS,info@bloomhousehold.com,3607832,Fair,C,63137,Mobile,Private,
